juego;orden_sorteo;temporada_o_anyo;fecha_sorteo;nombre;lugar;dia_semana;hora;bote_promocional;combinacion_ordenada;combinacion_salida;reintegro;complementario;pleno15;estrellas;caballos;primer_premio;serie;fraccion;segundo_premio;bote_real;total_premios;recaudacion;apuestas;cat_1;acertantes_1;premio_1;cat_2;acertantes_2;premio_2;cat_3;acertantes_3;premio_3;cat_4;acertantes_4;premio_4;cat_5;acertantes_5;premio_5;cat_6;acertantes_6;premio_6;cat_7;acertantes_7;premio_7;cat_8;acertantes_8;premio_8;cat_9;acertantes_9;premio_9;cat_10;acertantes_10;premio_10;cat_11;acertantes_11;premio_11;cat_12;acertantes_12;premio_12;cat_13;acertantes_13;premio_13;
Euromillions;24;2011;27/05/2011;;;Friday;00:00;0;9 17 25 28 49;28 9 49 25 17;;;;9 8;;;;;;26.000.000;8.563.332;17.126.664;8.563.332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;23;2011;24/05/2011;;;Tuesday;00:00;0;16 23 24 26 29;16 23 24 29 26;;;;2 9;;;;;;15.000.000;4.527.280;9.054.560;4.527.280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;22;2011;20/05/2011;;;Friday;00:00;0;10 14 20 25 42;42 25 10 20 14;;;;8 11;;;;;;25.000.000;8.729.376;17.458.752;8.729.376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;21;2011;17/05/2011;;;Tuesday;00:00;0;20 21 37 45 46;37 20 21 45 46;;;;3 2;;;;;;15.000.000;4.671.719;9.343.438;4.671.719;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;20;2011;13/05/2011;;;Friday;00:00;0;9 11 17 36 47;17 47 11 36 9;;;;2 1;;;;;;123.000.000;10.861.375;21.722.750;10.861.375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;19;2011;10/05/2011;;;Tuesday;00:00;0;3 10 15 28 45;28 3 45 10 15;;;;7 5;;;;;;100.000.000;7.635.029;15.270.058;7.635.029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;18;2011;06/05/2011;;;Friday;00:00;0;11 16 20 22 28;28 16 20 22 11;;;;4 9;;;;;;28.000.000;10.234.999;20.469.998;10.234.999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;17;2011;29/04/2011;;;Friday;00:00;0;15 25 38 40 41;38 40 25 15 41;;;;1 2;;;;;;0;9.649.934;19.299.868;9.649.934;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;16;2011;22/04/2011;;;Friday;00:00;0;11 22 36 45 48;22 45 48 11 36;;;;1 4;;;;;;0;9.434.823;18.869.646;9.434.823;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;15;2011;15/04/2011;;;Friday;00:00;0;4 6 21 39 41;4 41 6 21 39;;;;2 6;;;;;;0;10.772.138;21.544.276;10.772.138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;14;2011;08/04/2011;;;Friday;00:00;0;21 23 38 47 50;21 47 23 38 50;;;;6 2;;;;;;0;10.302.812;20.605.624;10.302.812;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;13;2011;01/04/2011;;;Friday;00:00;0;4 17 21 22 33;17 33 22 21 4;;;;4 8;;;;;;0;10.694.173;21.388.346;10.694.173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;12;2011;25/03/2011;;;Friday;00:00;0;6 12 21 27 33;12 21 6 33 27;;;;7 3;;;;;;0;17.777.909;35.555.818;17.777.909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;11;2011;18/03/2011;;;Friday;00:00;0;1 13 20 26 50;50 13 26 1 20;;;;7 6;;;;;;0;16.487.195;32.974.390;16.487.195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;10;2011;11/03/2011;;;Friday;00:00;0;17 19 24 37 46;17 24 37 19 46;;;;2 7;;;;;;0;15.075.426;30.150.852;15.075.426;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;9;2011;04/03/2011;;;Friday;00:00;0;11 25 27 28 41;28 41 25 11 27;;;;8 5;;;;;;0;13.853.163;27.706.326;13.853.163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;8;2011;25/02/2011;;;Friday;00:00;0;12 13 42 45 48;42 45 13 48 12;;;;3 9;;;;;;0;11.028.338;22.056.676;11.028.338;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;7;2011;18/02/2011;;;Friday;00:00;0;2 3 15 45 49;45 3 49 15 2;;;;9 5;;;;;;0;9.980.332;19.960.664;9.980.332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;6;2011;11/02/2011;;;Friday;00:00;0;12 14 15 19 23;15 14 12 19 23;;;;7 8;;;;;;0;9.717.903;19.435.806;9.717.903;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;5;2011;04/02/2011;;;Friday;00:00;0;2 11 24 35 47;47 35 11 2 24;;;;5 9;;;;;;0;10.396.950;20.793.900;10.396.950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;4;2011;28/01/2011;;;Friday;00:00;0;13 23 24 41 42;41 24 23 42 13;;;;5 1;;;;;;0;10.269.435;20.538.870;10.269.435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;3;2011;21/01/2011;;;Friday;00:00;0;3 11 13 18 21;21 11 13 3 18;;;;5 4;;;;;;0;10.595.576;21.191.152;10.595.576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;2;2011;14/01/2011;;;Friday;00:00;0;2 14 24 39 44;44 2 24 14 39;;;;7 6;;;;;;0;9.770.933;19.541.866;9.770.933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;1;2011;07/01/2011;;;Friday;00:00;0;1 22 32 48 50;32 22 1 48 50;;;;7 6;;;;;;0;9.303.055;18.606.110;9.303.055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;1;2010;31/12/2010;;;Friday;00:00;0;2 24 34 38 43;2 24 43 38 34;;;;1 7;;;;;;0;9.347.656;18.695.312;9.347.656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;1;2010;24/12/2010;;;Friday;00:00;0;19 36 38 42 46;46 19 42 36 38;;;;8 2;;;;;;0;9.106.756;18.213.512;9.106.756;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;1;2010;17/12/2010;;;Friday;00:00;0;3 20 29 35 42;3 35 29 42 20;;;;3 8;;;;;;0;10.270.606;20.541.212;10.270.606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euromillions;1;2010;10/12/2010;;;Friday;00:00;0;2 3 10 33 46;46 2 10 3 33;;;;8 7;;;;;;0;9.326.831;18.653.662;9.326.831;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
